Nectar Plant Species,0-10m,10-20m,20-30m,30-40m,40-50m,50-60m,60-70m,70-80m,80-90m,90-100m
common milkweed ramet,1,0,0,0,0,4,5,2,0,0
swamp milkweed ramet,0,0,0,0,0,0,0,0,0,0
butterfly milkweed ramet,0,0,0,0,0,0,0,0,0,0
birdsfoot trefoil,6,0,0,5,4,13,2,4,0,0
brown eyed susan,0,0,0,0,0,0,0,0,0,5
common st johnswort,0,0,0,0,0,0,0,2,0,0
eastern daisy fleabane,0,1,0,0,0,0,0,0,0,0
ironweed,0,0,0,0,1,0,0,0,0,4
new england aster,0,0,0,0,1,0,0,0,0,0
ox eye sunflower,6,7,7,7,9,22,12,16,12,4
prairie blazing star,0,0,0,0,3,0,0,0,0,0
queen annes lace,6,0,0,0,0,0,0,0,0,1
virginia mountain mint,0,0,0,0,0,0,0,0,4,0
wild bergamot,3,2,0,2,7,1,8,8,9,5
yellow coneflower,10,8,23,19,25,12,13,7,13,15
